Observation unit ID	Date	TubN_LT20	TubW_LT20	TubN_GE20	TubW_GE20	TubN_total_per_plant	TubW_total_per_plant
WUR:CE-ETH10-1-57-3	2010-12-01	4	10	14	390	18	400
WUR:CE-ETH10-1-57-4	2010-12-01	8	30	9	190	17	220
WUR:CE-ETH10-1-58-1	2010-12-01	4	12	8	360	12	372
WUR:CE-ETH10-1-58-2	2010-12-01	3	10	11	260	14	270
WUR:CE-ETH10-1-58-3	2010-12-01	2	10	9	420	11	430
WUR:CE-ETH10-1-58-4	2010-12-01	2	10	5	200	7	210
WUR:CE-ETH10-1-59-1	2010-12-01	5	30	5	225	10	255
WUR:CE-ETH10-1-59-2	2010-12-01	3	7	7	360	10	367
WUR:CE-ETH10-1-59-3	2010-12-01	2	15	7	370	9	385
WUR:CE-ETH10-1-59-4	2010-12-01	1	5	8	210	9	215
WUR:CE-ETH10-1-60-1	2010-12-01	2	8	11	380	13	388
WUR:CE-ETH10-1-60-2	2010-12-01	15	60	11	270	26	330
WUR:CE-ETH10-1-60-3	2010-12-01	6	20	8	220	14	240
WUR:CE-ETH10-1-60-4	2010-12-01	7	35	25	525	32	560
WUR:CE-ETH10-1-61-1	2010-12-01	4	20	12	240	16	260
WUR:CE-ETH10-1-61-2	2010-12-01	3	10	18	610	21	620
WUR:CE-ETH10-1-61-3	2010-12-01	3	15	7	180	10	195
WUR:CE-ETH10-1-61-4	2010-12-01			12	280	12	280
WUR:CE-ETH10-1-62-1	2010-12-01	2	5	12	340	14	345
WUR:CE-ETH10-1-62-2	2010-12-01	9	45	12	380	21	425
WUR:CE-ETH10-1-62-3	2010-12-01	3	10	12	200	15	210
WUR:CE-ETH10-1-62-4	2010-12-01	8	45	4	80	12	125
WUR:CE-ETH10-1-63-1	2010-12-01			10	265	10	265
WUR:CE-ETH10-1-63-2	2010-12-01	2	10	8	220	10	230
WUR:CE-ETH10-1-63-3	2010-12-01	3	10	4	165	7	175
WUR:CE-ETH10-1-63-4	2010-12-01	5	55	5	190	10	245
WUR:CE-ETH10-1-64-1	2010-12-01	2	6	12	375	14	381
WUR:CE-ETH10-1-64-2	2010-12-01	5	15	6	165	11	180
WUR:CE-ETH10-1-64-3	2010-12-01	1	5	7	210	8	215
WUR:CE-ETH10-1-64-4	2010-12-01	1	5	5	170	6	175
WUR:CE-ETH10-1-65-1	2010-12-01	4	10	7	220	11	230
WUR:CE-ETH10-1-65-2	2010-12-01	3	7	9	370	12	377
WUR:CE-ETH10-1-65-3	2010-12-01			8	200	8	200
WUR:CE-ETH10-1-65-4	2010-12-01	3	10	11	385	14	395
WUR:CE-ETH10-1-66-1	2010-12-01	2	10	4	200	6	210
WUR:CE-ETH10-1-66-2	2010-12-01	3	15	11	80	14	95
WUR:CE-ETH10-1-66-3	2010-12-01	4	30	6	145	10	175
WUR:CE-ETH10-1-66-4	2010-12-01	5	15	5	90	10	105
WUR:CE-ETH10-1-67-1	2010-12-01	12	25	12	375	24	400
WUR:CE-ETH10-1-67-2	2010-12-01	3	10	15	385	18	395
WUR:CE-ETH10-1-67-3	2010-12-01	1	5	11	390	12	395
WUR:CE-ETH10-1-67-4	2010-12-01	6	20	5	110	11	130
WUR:CE-ETH10-1-68-1	2010-12-01			3	60	3	60
WUR:CE-ETH10-1-68-2	2010-12-01	1	5	7	380	8	385
WUR:CE-ETH10-1-68-3	2010-12-01	2	7	8	380	10	387
WUR:CE-ETH10-1-68-4	2010-12-01	3	5	7	200	10	205
WUR:CE-ETH10-1-69-1	2010-12-01	2	5	15	370	17	375
WUR:CE-ETH10-1-69-2	2010-12-01	1	5	12	270	13	275
WUR:CE-ETH10-1-69-3	2010-12-01	3	12	6	200	9	212
WUR:CE-ETH10-1-69-4	2010-12-01	3	20	12	240	15	260
WUR:CE-ETH10-1-70-1	2010-12-01			9	165	9	165
WUR:CE-ETH10-1-70-2	2010-12-01	3	10	9	210	12	220
WUR:CE-ETH10-1-70-3	2010-12-01	1	5	14	195	15	200
WUR:CE-ETH10-1-70-4	2010-12-01	3	10	8	105	11	115
WUR:CE-ETH10-1-71-1	2010-12-01	10	25	9	165	19	190
WUR:CE-ETH10-1-71-2	2010-12-01	2	10	6	145	8	155
WUR:CE-ETH10-1-71-3	2010-12-01	4	10	13	220	17	230
WUR:CE-ETH10-1-71-4	2010-12-01	1	5	3	120	4	125
WUR:CE-ETH10-1-72-1	2010-12-01	5	15	13	380	18	395
WUR:CE-ETH10-1-72-2	2010-12-01	5	10	13	390	18	400
WUR:CE-ETH10-1-72-3	2010-12-01	10	20	15	220	25	240
WUR:CE-ETH10-1-72-4	2010-12-01	9	25	14	370	23	395
WUR:CE-ETH10-1-73-1	2010-12-01	10	30	7	320	17	350
WUR:CE-ETH10-1-73-2	2010-12-01	11	80	7	265	18	345
WUR:CE-ETH10-1-73-3	2010-12-01	10	85	6	195	16	280
WUR:CE-ETH10-1-73-4	2010-12-01	4	35	5	220	9	255
WUR:CE-ETH10-1-74-1	2010-12-01	2	10	5	195	7	205
WUR:CE-ETH10-1-74-2	2010-12-01	4	15	6	105	10	120
WUR:CE-ETH10-1-74-3	2010-12-01	1	5	2	65	3	70
WUR:CE-ETH10-1-74-4	2010-12-01	2	6	5	170	7	176
WUR:CE-ETH10-1-75-1	2010-12-01	1	5	10	210	11	215
WUR:CE-ETH10-1-75-2	2010-12-01	2	10	6	110	8	120
WUR:CE-ETH10-1-75-3	2010-12-01	1	10	10	410	11	420
WUR:CE-ETH10-1-75-4	2010-12-01	1	5	9	295	10	300
WUR:CE-ETH10-1-76-1	2010-12-01	20	90	30	430	50	520
WUR:CE-ETH10-1-76-2	2010-12-01	6	25	10	240	16	265
WUR:CE-ETH10-1-76-3	2010-12-01	12	80	16	240	28	320
WUR:CE-ETH10-1-76-4	2010-12-01	20	65	23	475	43	540
WUR:CE-ETH10-1-77-1	2010-12-01	2	10	4	125	6	135
WUR:CE-ETH10-1-77-2	2010-12-01	4	30	6	185	10	215
WUR:CE-ETH10-1-77-3	2010-12-01	1	5	3	45	4	50
WUR:CE-ETH10-1-77-4	2010-12-01	1	5	3	145	4	150
WUR:CE-ETH10-1-78-1	2010-12-01	8	25	16	590	24	615
